id,ground_truth,en_pred,ar_pred,en_correct,ar_correct,quadrant,input_english,input_arabic
4805,C,C,C,1,1,both_correct,"If x represents the state of smoker and non-smoker, i.e., [0,1] = RX, then it expresses:
A) Ordinal scale
B) Rational scale
C) Nominal scale
D) Interval scale","إذا كان x يدل على حالة مدخن وغير مدخن أي [0,1] =RXفإنه يعبر عن:

الاختيارات:
A. المقياس الرتبي
B. المقياس النسبي
C. المقياس الاسمي
D. المقياس الفتروي"
2412,D,D,D,1,1,both_correct,"Sensory motion is:
A) the most important of all vibratory motions
B) the simplest of vibratory motions
C) the most accurate representation of many vibratory phenomena
D) all of the above are true","إن الحركة الحسية

الاختيارات:
A. الأكثر أهمية من بين جميع الحركات الاهتزازية
B. أبسط الحركات الإهتزازية
C. أشكل تمثيل كافي الدقة بكثير من الظواهر الاهتزازية
D. كل ما سبق صحيح"
2753,B,B,B,1,1,both_correct,"When two tectonics approach each other with great force, the strong intermolecular forces exert a weaker force, which prevails at very small distances. This creates a kind of rigid core that makes the nucleus incompressible.

A) It prevents any particle from splitting.
B) It prevents any particle from fusing.
C) It prevents any particle from transforming.
D) All of the above are true.","عندما يقترب تكليونان أحدهما من الآخر شدة يفعل قوى التأثير الشديد فإن قوى التأثير الضعيف التي تسود عند الأبعاد الصغيرة جدا. فتشكل نوع من القلب القاسي يجعل النواة غير قابلة للانضغاط

الاختيارات:
A. تمنع أي جسيم من الانشطار
B. تمنع أي جسيم من الاندماج
C. تمنع أي جسيم من التحول
D. كل ما سبق صحيح"
1908,B,B,B,1,1,both_correct,"Blonde hair in some Solomon Islanders {Incorrect}:
A) is due to a change in one of the base pairs in a gene
B) Blonde hair has a specific SNP on chromosome 9 called TYRP1
C) Melanin is controlled by the TYRP1 gene
D) Mutations in this gene lead to a type of albinism","الشعر الأشقر عند بعض سكان جزر Solomon { الخطأ}:

الاختيارات:
A. يعود إلي تغير شفع واحد من الأسس في إحدي الجينات
B. يمتلك ذو الشعر الأشقر SNP علي الصبغي التاسع ضمن تدعي TYRP1
C. يتحكم الميلانين بالجين TYRP1
D. تؤدي الطفرة في هذه الجين إلي أحد أنواع المهق"
3720,C,C,C,1,1,both_correct,"Which of the following proteins plays a role in blood clotting?
A) Ferritin
B) Transferrin
C) Fibrinogen
D) Myosin","من البروتينات التي تلعب دوراً في تخثر الدم :

الاختيارات:
A. الفريتين
B. الترانسفرين
C. الفيبرينوجين
D. الميوسين"
816,C,C,C,1,1,both_correct,"The element adjacent to the trachea posteriorly is:
A) Thymus gland
B) Aortic arch
C) Esophagus
D) Brachiocephalic trunk","العنصر الذي يجاور الرغامي من الخلف هو :

الاختيارات:
A. غدة التيموس
B. قوس الأبهر
C. المري
D. الجذع العضدي الرأسي"
2307,B,B,B,1,1,both_correct,"The force that causes deformation in a body and is applied to a unit surface is:
A) Strain
B) Stress
C) Elasticity
D) Elasticity","القوة التي تحدث تشوها في الجسم وتكون مطبقه على واحده السطح هي:

الاختيارات:
A. الانفعال
B. الاجهاد
C. المرونة
D. اللرونة"
1108,D,D,D,1,1,both_correct,"Parasympathetic stimulation of the penis leads to:

A) Relaxation of smooth muscles.

B) Constriction of the corpora cavernosa.

C) Dilation of the corpora cavernosa.

D) a+c","التنبيه نظير الودي للقضيب يؤدي إلى :

الاختيارات:
A. استرخاء العضلات الملساء.
B. تضيق الفراغات الكهفية.
C. توسع الفراغات الكهفية.
D. a+c"
2519,D,D,D,1,1,both_correct,"m in 99mTc indicates that this element is:
A) stable
B) unstable
C) radioactive
D) B,C","يدل m فى 99mTc على أن هذا العنصر :

الاختيارات:
A. مستقر
B. غير مستقر
C. مشع
D. B,C"
3721,A,A,A,1,1,both_correct,"All of the following are causes of iron deficiency except:
A) Thalassemia
B) Iron-poor dietary intake
C) Bleeding from esophageal varices
D) Intestinal parasites","يعتبر كل مما يلي من أسباب عوز الحديد ما عدا:

الاختيارات:
A. التلاسيميا
B. المدخول القوتي الفقير بالحديد
C. النزف من دوالي المريء
D. وجود طفيليات في الأمعاء"
4082,D,D,D,1,1,both_correct,"The following factors regulate aldosterone secretion from the adrenal cortex, except:
A) Blood volume
B) Potassium concentration
C) Renin-angiotensin system
D) ACTH","تنظيم العوامل التالية إفراز الألدوستيرون من قشر الكظر عدا:

الاختيارات:
A. حجم الدم
B. تركيز البوتاسيوم
C. جهاز الرينين-أنجيوتنسين
D. ACTH"
1716,A,A,A,1,1,both_correct,"The enzyme RNA polymerase performs the following functions:
A) Transcription of the functional strand
B) Cleavage of the physical transcript
C) Formation of the final complex
D) None of the above","يعمل انزيم RNA بوليميراز على

الاختيارات:
A. نسخ شريط الدالة
B. شطر المنتسخ البدني
C. تشكل المعقد النهائي
D. لا شيء مما سبق"
433,C,C,C,1,1,both_correct,"All of the following are true about pericytes EXCEPT:
A) They help capillaries contract.

B) They replace and repair damaged tissue.
C) They constantly divide and form new blood vessels.

D) They partially surround endothelial cells.","كل ما يلي صحيح عن pericytes ما عدا:

الاختيارات:
A. تساعد على تقلُّص الشعيرات.
B. تعوِّض وترمِّم الأنسجة المتأذية
C. تنقسم وتكوِّن أوعية دموية جديدة باستمرار.
D. تحيط جزئي ا بالخلايا البطانية."
2633,A,A,A,1,1,both_correct,"The reaction of propane with Br₂ gives:
A) 1,2-dibromopropane
B) 1,1-dibromopropane
C) 1,3-dibromopropane
D) 2,2-dibromopropane","يعطي تفاعل البروبن مع Br2:

الاختيارات:
A. 2,1- ثنائي بروم البروبان
B. 1,1- ثنائي بروم البروبان
C. 3,1- ثنائي بروم البروبان
D. 2,2- ثنائي بروم البروبان"
3057,A,A,A,1,1,both_correct,"A cardiologist writes a report for a patient stating that the radius of the descending internal artery is narrowed by 10%. The radius of the narrowed artery is:
A) 0.90r¹
B) 0.10r¹
C) 0.80r¹
D) All of the above are correct","طبيب قلبيه يكتب تقريرا لمريضه ان نصف قطر الشريان الداخلي النازل من القلب تضيق بمقدار 10% فان نصف قطر الشريان المتضايق يساوي:

الاختيارات:
A. 0.90r1
B. 0.10r1
C. 0.80r1
D. كل ما سبق صحيح"
1490,C,C,C,1,1,both_correct,"Heritability:
A) Focuses on genetic differences as the cause of diversity
B) Is influenced by genetics
C) Both A and B are involved
D) Is controlled by environmental factors","قابلية الانتقال بالوراثة:

الاختيارات:
A. تركز على الاختلافات الجينية ك سبب للتنوع
B. تتأثر بالروكبة
C. A وB معا
D. تتحكم فيها عوامل بيئية"
1574,B,B,B,1,1,both_correct,"All of the following statements about metabolism are true except:

A) It represents coordinated, organized, and controlled cellular activity.

B) It occurs randomly.

C) Most metabolic pathways are linear.

D) Hundreds of metabolic reactions take place in the human body.","كل مما يلي حول الاستقلاب صحيح ما عدا:

الاختيارات:
A. يمثل نشاطاً خلوياً منسقاً ومنظماً وهادها.
B. يجري بصورة عشوائية.
C. أغلب السبل الاستقلابية هي سبل خطية الشكل.
D. تجري المئات من تفاعلات الاستقلاب في جسم الانسان."
1980,B,B,B,1,1,both_correct,"Pericentric inversion is characterized by the following:

A) It results in the loss of the chromosome.

B) It involves the entire centromere.

C) It does not cause any damage.

D) The resulting gametes are intact.","يتميز الانقلاب المحيط للمركز inversion Pericentric بما يلي:

الاختيارات:
A. يؤدي إلى ضياع الصبغي الحقاَ.
B. يكون شاملا للقسيم المركزي.
C. ال يتسبب بأي ضرر.
D. الأعراس الناتجة سليمة."
2074,B,B,B,1,1,both_correct,"Bonding mediates homologous interactions between:
A) Transmembrane proteins.

B) Structurally identical proteins.

C) Chemically different proteins.

D) Seronegatives and prosides.","تتواسط الارتباطات في التأثرات المتجانسة:

الاختيارات:
A. بروتينات عابرة للغشاء.
B. بروتينات متطابقة بنيوياً.
C. بروتينات مختلفة في التركيب الكيمائي.
D. السير وبروزيدات."
2915,D,D,D,1,1,both_correct,"The electron microscope's magnification power, estimated at 500 times that of a light microscope, is due to:

A) High resolving power.

B) High electron energy.

C) Magnetic lenses.

D) The shorter wavelength of the electron compared to visible light.","تعود قوة تكبير المجهر الإلكتروني المقدرة ب 500 مرة قوة تكبير المجهر الضوئي:

الاختيارات:
A. قدرة الفصل العالية.
B. طاقة الإلكترونات العالية.
C. العدسات المغناطيسية.
D. قصر الموجة المصاحبة للإلكترون مقارنة بموجة الضوء المرئي."
3833,A,A,A,1,1,both_correct,"The sympathetic nerve:

A) Secretes adrenaline.

B) Secretes acetylcholine.

C) It is the vagus nerve.

D) It slows the heart rate.","العصب الودي القلبي:

الاختيارات:
A. يفرز الأدرينالين.
B. يفرز الاستيل كولين.
C. هو العصب المبهم.
D. يبطئ حركة القلب."
3830,D,D,D,1,1,both_correct,"The essential vitamin in the formation of clotting factors:
A) A
B) B
C) C
D) K","الفيتامين الأساسي في عملية تشكيل عوامل التخثر:

الاختيارات:
A. A
B. B
C. C
D. K"
3739,D,D,D,1,1,both_correct,"Propionic acid derivatives include all of the following except:
A) Ibuprofen
B) Naproxen
C) Tiaprofenic acid
D) Hyphanemaic acid
E) Ketoprofen","مشتقات الحمض البروبيوني كل ما يلي عدا:

الاختيارات:
A. ايبوبروفين
B. نابروكسين
C. تيابروفينيك أسيد
D. هيفا ناميك أسيد
E. كيتوبروفين"
1029,C,C,C,1,1,both_correct,"The internal capsule is located:
A) between the hypothalamus and the thalamus
B) between the globus pallidus and the thalamus
C) between the lentiform nucleus on one side and the caudate nucleus and the thalamus on the other
D) between the two cerebral hemispheres","تتوضع المحفظة الداخلية :

الاختيارات:
A. بين الوطاء والمهاد
B. بين الكرة الشاحبة والأتبة
C. بين النواة العدسية من جهة والنواة المذنبة والمهاد من جهة
D. بين نصفي الكرة المخية"
2079,B,B,B,1,1,both_correct,"All of the following are examples of pharmacokinetics except:
A) Metabolism
B) Malignant hyperthermia
C) Absorption
D) Excretion","كل ما يلي يعد من الأمثلة عن الحركة الدوائية ماعدا :

الاختيارات:
A. الاستقلاب
B. فرط الحرارة الخبيث
C. الامتصاص
D. الإطراح"
4804,B,B,B,1,1,both_correct,"The random variable X has a normal distribution, so the mean of a sample of it will be: A) Standard distribution
B) Normal distribution
C) Poisson distribution
D) Student distribution","المتغير العشوائي X له التوزيع الطبيعي فيكون المتوسط عينة منه التوزيع:

الاختيارات:
A. المعياري
B. الطبيعي
C. بواسون
D. ستيودنت"
2248,B,B,B,1,1,both_correct,"If the linkage between genes A and B is complete, then the number of genotypes in the gametes of an individual with AB/ab heterozygous alleles will be:
A) 1
B) 2
C) 3
D) 4","اذا كان الارتباط بين المورثتين A و B كامل فان عدد الأنماط الجينية في اعراس لفرد نتغاير ألالائل AB/ab سيكون:

الاختيارات:
A. 1
B. 2
C. 3
D. 4"
4520,B,B,B,1,1,both_correct,"Studies that, by virtue of fieldwork, involve data collection and execution are: A) Quantitative studies
B) Qualitative studies
C) Rapid studies
D) In-depth studies","الدراسات التي بحكم الميدان تنفيذ العمل وجمع البيانات هي:

الاختيارات:
A. الدراسات الكمية
B. الدراسات الكيفية
C. الدراسات السريعة
D. الدراسات الدقيقة"
4727,B,B,B,1,1,both_correct,"A set of random variables is said to constitute a random sample if it is:
A) related and has the same distribution law
B) independent and has the same distribution law
C) mutually exclusive and has the same distribution law
D) independent, each with its own distribution law","نقول عن مجموعة من المتغيرات العشوائية انها تشكل عينة عشوائية اذا كانت :

الاختيارات:
A. مرتبطة ولها قانون التوزبع نفسه
B. مستقلة ولها قانون التوزيع نفسه
C. متنافية ولها قانون التوزيع نفسه
D. مستقلة ولكل منها قانون توزيعه الخاص"
3173,B,B,B,1,1,both_correct,"Radiation therapy plays a significant role in the treatment of seminoma of the testicle by targeting:
A) the somatic tumor
B) the iliac and aortic lymph nodes
C) the inguinal lymph nodes
D) the mediastinum
E) the pulmonary metastases","تلعب المعالجة الإشعاعية دوراً هاما في علاج أورام الخصية من النمط المنوي وذلك بتطبيقها على :

الاختيارات:
A. الورم البدني
B. سلسلة العقد اللمفاوية الحرقفية والأبهرية
C. سلسلة العقد الإربية
D. المنصف
E. التقائل الرئوية"
2009,A,A,A,1,1,both_correct,"The gene affected by mutation in malignant hyperthermia:
A) RYR
B) MDR
C) CYPD
D) RP1","الجين المصاب بطفرة في فرط الحرارة الخبيث:

الاختيارات:
A. RYR
B. MDR
C. CYPD
D. RP1"
2639,D,D,D,1,1,both_correct,"The nucleon number in the nucleus of an atom represents the number of:
A) Neutrons
B) Protons
C) Electrons
D) Total number of protons and neutrons","العدد النيوكلوني في نواة ذرة ما يعبر عن عدد:

الاختيارات:
A. النترونات
B. البروتونات
C. الإلكترونات
D. مجموع البروتونات والنترونات"
2577,B,B,B,1,1,both_correct,"The elements are now arranged in the periodic table according to:
A) their atomic mass
B) their atomic number
C) their charge
D) their chemical structure","ان العناصر تترتب الان في الجدول الدوري وفق :

الاختيارات:
A. كتلتها الذرية
B. إعدادها الذرية
C. شحنتها
D. بنيتها الكيميائية"
1881,A,A,A,1,1,both_correct,"During the S phase of the cell cycle, the following occur:

A) Chromosome duplication.

B) Repair of cell organelles.

C) Growth in preparation for cell division.

D) Formation of mitochondria and endoplasmic reticulum.","في الطور S من الدورة الخلوية يحدث

الاختيارات:
A. تضاعف الصبغيات .
B. ترمیم عضياتها .
C. تنمو لتحضر القسها للانقسام .
D. تشكيل المتقدرات والشبكة الاندوبلاسمية"
4495,B,B,B,1,1,both_correct,"The broken line connecting points whose intervals are the class midpoints and whose order represents the class frequencies is:
A) Frequency curve
B) Frequency polygon
C) Histogram
D) Pie chart","إن الخط المنكسر الذي يصل النقاط التي فواصلها مراكز الفئات وترتيبها تكرارات الفئات هو :

الاختيارات:
A. المنحني التكراري
B. المضلع التكراري
C. المدرج التكراري
D. التمثيل الدائري"
386,E,E,E,1,1,both_correct,"The muscle that separates the vocal folds:
A) Thyroarytenoid
B) Cricothyroid
C) Lateral cricoarytenoid
D) Oblique cricoarytenoid
E) Posterior cricoarytenoid","العضلة التي تبعد الطيتين الصوتيتين:

الاختيارات:
A. Thyro arytenoid
B. Crico thyroid
C. Lateral cricoarytenoid
D. Oblique arytenoid
E. Posterior cricoarytenoid"
3629,D,D,D,1,1,both_correct,"In the case of blunt injury to intraocular pressure, the following occurs: (Check the incorrect one):
A) Traumatic glaucoma due to corneal hemorrhage
B) Hypo-intraocular pressure due to corneal rupture
C) Traumatic glaucoma due to perforation of the lens
D) Hypo-intraocular pressure due to corneal hemorrhage","في تأثير الأذية الكليلة لضغط العين يحدث ما يلي: (اختر الخطأ):

الاختيارات:
A. زرق رضي بسبب نزف المقلة
B. انخفاض ضغط العين بسبب تمزق المقلة
C. زرق رضي بسبب خلع الجسم البلوري
D. انخفاض ضغط العين بسبب نزف المقلة"
4742,B,B,B,1,1,both_correct,"Population census:
A) Does not provide information about the population
B) Provides the most accurate information about the population
C) Provides specific information about the population type only
D) Provides information about the population size only","التعداد السكاني:

الاختيارات:
A. لا يوفر المعلومات عن السكان
B. يوفر أكبر قدر من المعلومات الصحيحة عن السكان
C. يوفر معلومات محددة من نوع السكان فقط
D. يوفر معلومات عن عدد السكان فقط"
1028,A,A,A,1,1,both_correct,"The soleus line: (2016)
A) Origin of the soleus muscle.

B) Above it, the posterior tibia originates.

C) Below it, the plantar fascia originates.

D) It lies in the middle of the posterior surface of the tibia.","الخط النعلي : (2016)

الاختيارات:
A. منشأ للعضلة النعلية.
B. أعلاه تنشأ الظنبوبية الخلفية.
C. أسفله تنشأ الأخمصية.
D. يقع وسط السطح الخلفي للظنبوب."
3774,D,D,D,1,1,both_correct,"All of the following drugs increase the metabolism of other drugs in the liver except:

A) Phenobarbital.

B) Rifampicin.

C) Phenytoin.

D) Cimetin.

E) Carbamazepine.","كل ممايلي من الأدوية التي تزيد من استقلاب الأدوية بالكبد ماعدا:

الاختيارات:
A. فينوباربيتون.
B. ريفامبيسين.
C. الفينيتوتين.
D. السيميتنين.
E. کاربامازبين."
4182,D,D,D,1,1,both_correct,"In a typical case, an excimer laser is assembled in:
A) a carrier gas and an active gas
B) argon and fluorine
C) krypton or krypton and chlorine
D) all of the above","في الحالة النموذجية يتجمع ليزر الإكسايمر في:

الاختيارات:
A. غاز حامل وغاز فعال
B. أرغون وفلور
C. كريبتون أو كريبتون وكلور
D. كل ما سبق صحيح"
4202,D,D,D,1,1,both_correct,"Causes of respiratory distress syndrome in premature infants include:

A) Alveoli with diameters less than one-quarter of normal.

B) Surfactant secretion does not begin until after 6 or 7 months of gestation.

C) Increased surfactant levels.

D) Both A and B.","- من أسباب متلازمة الضائقة التنفسية لدى الخدج:

الاختيارات:
A. لها أسناخ ذات أقطار أقل من ربع السوي.
B. السورفاكتانت لا يبدأ إفرازه إلا بعد الشهر 6 أو 7 من الحمل.
C. ازدياد كمية السورفاكتانت.
D. كل من A وB."
4386,A,A,A,1,1,both_correct,"Scurvy is treated with:
A) Vitamin C.

B) Vitamin A.

C) It has no cure.

D) Vitamin B.","داء الحفر يعالج ب :

الاختيارات:
A. فيتامين ث.
B. فيتامين أ.
C. ليس له علاج.
D. فيتامين ب."
4666,C,C,C,1,1,both_correct,"Estimating rainfall rates in Syria depends on:
A) The population is homogeneous and the sample size is small
B) The population is homogeneous and the sample size is large
C) The population is heterogeneous and the sample size is large
D) Other","إن تقدير معدل الامطار في سوريا يكون:

الاختيارات:
A. المجتمع متجانس وحجم العينة صغير
B. المجتمع متجانس وحجم العينة كبير
C. المجتمع غير متجانس وحجم العينة كبير
D. غير ذلك"
2523,D,D,D,1,1,both_correct,"The beam deflector in an SEM microscope consists of a series of:
A) Electromagnetic coils
B) Electrical coils
C) Magnetic coils
D) All of the above","يتكون حارف الحزمة في مجهر SEM من سلسلة من :

الاختيارات:
A. الملفات الكهرطيسية
B. الملفات الكهربائية
C. الملفات مغناطيسية
D. كل ما سبق صحيح"
747,C,C,C,1,1,both_correct,"The venous sinus that drains into the internal jugular vein:
A) Cavernous sinus
B) Basilar sinus
C) Sigmoid sinus
D) Transverse sinus",". الجيب الوريدي الذي يصب في الوريد الوداجي الباطن

الاختيارات:
A. الجيب الكهفي
B. الجيب القاعدي
C. الجيب السيني
D. الجيب المستعرض"
4686,C,C,C,1,1,both_correct,"The steps that must be understood before starting the data collection process are:
A) Identifying variables and identifying sources
B) Defining the scope of the phenomenon to be studied and researched
C) A+B
D) Health records","من الخطوات التي يجب الإلمام بها قبل الشروع بعملية جمع البيانات

الاختيارات:
A. تعيين المتغيرات وحصر المصادر
B. تعيين مجال الظاهرة المراد دراستها وبحثها
C. A+B
D. السجلات الصحية"
2001,D,D,D,1,1,both_correct,"In DNA fragment electrophoresis:

A) Electrophoresis is performed on a sucrose gel.

B) Fragments migrate from the positive to the negative electrode.

C) Mutations are detected.

D) Fragments can be separated according to their size.","في الرحلان الكهربائي لشدف الدنا

الاختيارات:
A. يجري الرحلان على هلامة سيكروز.
B. ترحل الشدف من القطب الموجب إلى السالب.
C. يتم الكشف عن أنواع الطفرات.
D. يمكن فصل الشدف حسب حجمها."
1593,C,C,C,1,1,both_correct,"A haploid sperm fertilizes an egg containing 21 chromosomes, resulting in a zygote containing:
A) 46
B) 45
C) 47
D) 69","لقحت نطفة أحادية الصيغة الصبغية بيضة تحوي على صبيغيين 21 فتكون الزيجوت الناتجة تحوي على:

الاختيارات:
A. 46
B. 45
C. 47
D. 69"
831,C,C,C,1,1,both_correct,"The ascending colon is supplied by:
A) Renal artery
B) Left gastric artery
C) Superior mesenteric artery
D) Inferior mesenteric artery","يتم تروية القولون الصاعد من الشريان :

الاختيارات:
A. الكلوي
B. المعدي الأيسر
C. المساريقي العلوي
D. المساريقي السفلي"
3564,A,A,A,1,1,both_correct,"Regarding albinism, all of the following are true except:
A) It affects only the eye
B) It is hereditary
C) There are white spaces separating the blood vessels in the fundus of the eye
D) The patient has nystagmus and photophobia
E) Reduced visual acuity","فيما يخص المهق Albinism ما يلي صحيح عدا:

الاختيارات:
A. يخص العين فقط
B. وراثي
C. تفصل بين أوعية قعر العين مساحات بيضاء
D. المريض لديه رأرأة وخوف من الضياء
E. تدني القدرة البصرية"
4825,C,C,C,1,1,both_correct,"For a sample of 50 patients, if the mean number of days to recovery is 4 days and a standard deviation of 0.5 days, then the appropriate body size for estimating P with 95% confidence is:
A) 400
B) 380
C) Approximately 385
D) 500","عينة مؤلفة من 50 مريضًا، إذا كان متوسط عدد أيام الشفاء هو 4 أيام وبانحراف معياري 0.5 يوم، فإن حجم الهيئة المناسب لتقدير Pبثقة 95% هو:

الاختيارات:
A. 400
B. 380
C. 385 تقريباً
D. 500"
2237,D,D,D,1,1,both_correct,"The term homozygous dominant for an organism refers to:
A) a heterozygous recessive zygote.

B) a heterozygous dominant zygote.

C) a homozygous recessive zygote.

D) a homozygous dominant zygote.","يعبر المصطلح homozygous dominant للكائن عن:

الاختيارات:
A. زيجوت متغاير ألالائل متنحي.
B. زيجوت متغاير ألالائل سائد.
C. زيجوت متماثل ألالائل متنحي.
D. زيجوت متماثل ألالائل سائد."
3119,D,D,D,1,1,both_correct,"The pattern of response of an organ innervated by the autonomic nervous system (excitation or inhibition) is determined by:

A) Whether it is innervated by the sympathetic nervous system.

B) Whether it is innervated by the parasympathetic nervous system.

C) Whether it is innervated by both.

D) The type of receptors present in the organ.","يتحدد نمط استجابة العضو المعصب بواسطة الجهاز العصبي المستقل (استثارة أو تثبيط) بـ:

الاختيارات:
A. كونه معصب بالقسم الودي.
B. كونه معصب بالقسم اللاودي.
C. كونه معصب بالقسمين معاً.
D. نمط المستقبلات الموجودة في العضو."
3295,B,B,B,1,1,both_correct,"The schistosome is characterized by all of the following except:

A) 4-5 testes in the male
B) Oral, abdominal, and genital suckers close together
C) 10-15 mm in length in the male
D) Smooth skin in the female
E) Elongated uterus in the female containing 20-30 eggs","تتصف المنشقة الدموية بكل مايلي عدا

الاختيارات:
A. 5-4 خصي للذكر
B. بمحاجم فموية وبطنية وتناسلية قريبة من بعضها
C. بطول ١٠-١٥ملم للذكر
D. ببشرة ملساء للانثى
E. برحم طويل للانثى يتضمن ۲۰ - ٣٠ بيضة"
1709,A,A,A,1,1,both_correct,"A neutral mutation is characterized by the following:

A) The protein does not lose its function.

B) The codon is not changed.

C) The amino acid is not changed.

D) The reverse codon is not changed.","تتميز الطفرة المحايدة Neutral mutation بما يلي:

الاختيارات:
A. لا تفقد فيها وظيفة البروتين.
B. لا يتغير الرامز.
C. لا يتغير الحمض الأميني.
D. لا يتغير الرامز المعاكس."
4048,D,D,D,1,1,both_correct,"Prostacyclin:
A) A potent inhibitor of platelet adhesion.

B) Secreted from endothelial cells.

C) A vasodilator and vasoconstrictor.

D) Both a and b","prostacyclin:

الاختيارات:
A. مثبط قوي لالتصاق الصفيحات.
B. يفرز من الخلايا البطانية.
C. موسع وعاني.
D. كل من a و b"
465,A,A,A,1,1,both_correct,"The deep opening located anteriorly, laterally, and inferiorly to the nasal cavity is:
A) Aperture piriform
B) Cgoana
C) Nartina
D) Nasal septum",". الفتحة العميقة الواقعة امام ووحشي واسفل جوف الانف هي

الاختيارات:
A. Aperture piriform
B. Cgoana
C. Nartina
D. Nasal septum"
