id,input_arabic,input_english,prediction_arabic,prediction_english,ground_truth,Level,quadrant
2417,"تتناسب قرينة الانكسار لأي وسط معين:
A) عكسيا مع سرعة الأمواج في ذلك الوسط
B) عكسيا مع مربع سرعة الأمواج في ذلك الوسط
C) طرديا مع سرعة الأمواج في ذلك الوسط
D) طرديا مع مربع سرعة الأمواج في ذلك الوسط","The refractive index of any given medium is:
A) inversely proportional to the wave speed in that medium
B) inversely proportional to the square of the wave speed in that medium
C) directly proportional to the wave speed in that medium
D) directly proportional to the square of the wave speed in that medium",A,A,A,Y1,both_correct
201,"تقع فوهة مصب الجيب الأكليلي :
A) أمام وأسفل مصب الأجوف العلوي
B) أمام وأعلى مصب الأجوف السفلي
C) أمام وأسفل مصب الأجوف السفلي
D) إلى الخلف من مصب الأجوف السفلي","The coronal sulcus vent is located:
A) anterior and inferior to the vent of the superior vena cava
B) anterior and superior to the vent of the inferior vena cava
C) anterior and inferior to the vent of the inferior vena cava
D) posterior to the vent of the inferior vena cava",C,C,C,Y2,both_correct
187,"الشريان العضدي : (2016 أولى)
A) سطحي التوضع نسبيا.
B) يعطي أربعة فروع هامة.
C) ينتهي بمستوى رأس الكعبرة.
D) العصب الناصف يقع أنسي الشريان على طول مساره.","The brachial artery: (2016 First Year)
A) Relatively superficial.

B) Gives off four major branches.

C) Terminates at the level of the radial head.

D) The median nerve lies medially along the course of the artery.",A,A,A,Y2,both_correct
572,". العصب القحفي الذي يحمل التعصيب نظير الودي للقلب
A) 8
B) 9
C) 10
D) 11","The cranial nerve that carries the parasympathetic innervation of the heart
A) 8
B) 9
C) 10
D) 11",C,C,C,Y2,both_correct
1350,"عوز إنزيم البيروفات كيناز يسبب:
A) فقر دم انحلالي
B) قصور قلب
C) فقر دم بنقص الحديد
D) قصور كلية","Pyruvate kinase deficiency causes:
A) Hemolytic anemia
B) Heart failure
C) Iron deficiency anemia
D) Kidney failure",A,A,A,Y2,both_correct
1396,"من اعراض فرط الكالسيوم:
A) الالم البطنى
B) الشلل العضلى
C) التخليط الذهنى
D) كل ما سبق صحيح","Symptoms of hypercalcemia include:
A) Abdominal pain
B) Muscle paralysis
C) Mental confusion
D) All of the above",D,D,D,Y2,both_correct
2911,"معادلة برنولي المطبقة على جريان المائع هي من أشكال قانون انحفاظ :
A) الطاقة .
B) الكتلة .
C) السرعة.
D) الكل خطأ .","Bernoulli's equation, as applied to fluid flow, is a form of the conservation law of:

A) Energy.

B) Mass.

C) Velocity.

D) All are false.",A,A,A,Y1,both_correct
3944,"أي مما يلي يزيد معدل الترشيح الكبيبي GFR
A) انخفاض BP الشعري.
B) النزف.
C) زيادة تدفق الدم الكلوي.
D) كل ماسبق صحيح.","Which of the following increases the glomerular filtration rate (GFR)?

A) Decreased capillary blood pressure (BP).

B) Bleeding.

C) Increased renal blood flow.

D) All of the above.",C,C,C,Y1,both_correct
160,"تتواجد العناصر التاليه فى المثلث الخلفى للعنق ما عدا:
A) شريان ظهر الكتف
B) الشريان الغذائى
C) عصب فوق الكتف
D) الضفيرة الرقبية
E) العروة القبيه","The following structures are located in the posterior triangle of the neck except:
A) Dorsal artery
B) Hypotrophic artery
C) Suprascapular nerve
D) Cervical plexus
E) Loop ventricle",E,E,E,Y2,both_correct
3684,"من المظاهر السريرية لداء السكري:
A) التبول الكيتوني
B) انخفاض الحموض الدهنية الحرة
C) الإحساس بالشبع
D) القلاء الاستقلابي","Clinical manifestations of diabetes include:
A) Ketoacidosis
B) Decreased free fatty acids
C) Satiety
D) Metabolic alkalosis",A,A,A,Y2,both_correct
1187,"يتكون الجهاز الوعائي الدموي مما يلي ما عدا:
A) الشرايين
B) الأوردة
C) الشعيرات اللمفية
D) القلب","The vascular system consists of all of the following except:
A) Arteries
B) Veins
C) Lymphatic capillaries
D) Heart",C,C,C,Y2,both_correct
4444,"الذي يمثل مدة التقلص البطيني على تخطيط القلب الكهربائي هو:
A) الفترة PQ أو PR.
B) الفترة QT.
C) الفترة ST.
D) الفترة PR.","The duration of ventricular contraction on an electrocardiogram (ECG) is: A) PQ or PR interval.

B) QT interval.

C) ST interval.

D) PR interval.",B,B,B,Y1,both_correct
4158,"البالعات عدا:
A) تفعل من قبل السيتوكينات.
B) TNF تفرز
C) تساعد من قبل الاجسام المضادة.
D) تقوم بقتل الاحياء الدقيقة.","Phagocytes, except for:
A) Cytokines.

B) TNF.
C) Antibodies.

D) Kill microorganisms.",C,C,C,Y1,both_correct
4382,"يفرز من الامعاء :
A) الانتبروكيناز
B) السيكرتين
C) الماء
D) كل ما سبق صحيح","Secreted from the intestines: A) Enterokinase
B) Secretin
C) Water
D) All of the above",D,D,D,Y2,both_correct
2403,"في تجربة رذرفورد عندما يقترب جسيم ألفا لأقل مسافة ممكنة من النواة عند هذه المسافة تتحول:
A) الطاقة الحركية إلى طاقة كامنة ثقالية
B) الطاقة الكامنة إلى طاقة حركية
C) الطاقة الحركية إلى طاقة كولونية
D) الطاقة الكامنة إلى طاقة حرارية","In Rutherford's experiment, when an alpha particle approaches the nucleus to its closest possible distance, at this distance:
A) Kinetic energy is converted into gravitational potential energy
B) Potential energy is converted into kinetic energy
C) Kinetic energy is converted into Coulomb energy
D) Potential energy is converted into thermal energy",C,C,C,Y1,both_correct
1354,"عملية تشكيل عديدات الببتيد من سلاسل رنا ناضج هي:
A) Transcription
B) Translation
C) Gene Expression
D) Reverse Transcription","The process of polypeptide formation from mature RNA strands is:
A) Transcription
B) Translation
C) Gene Expression
D) Reverse Transcription",B,B,B,Y1,both_correct
2558,"تهدف المطابقة تغيير شكل عدسة العين لإبقاء خيال الجسم الواقع في المدى على الشبكية ويتم ذلك بالضغط الذي تسببه العضلات الهدبية على عدسة العين وهذا يعني:
A) عدسة مضغوطة بعد محرقي أكبر.
B) عدسة مضغوطة بعد محرقي أصغر.
C) عدسة منبسطة بعد محرقي كبير.
D) الجوابين B و C .","Accommodation aims to change the shape of the eye's lens to keep the image of an object in focus on the retina. This is achieved through pressure exerted by the ciliary muscles on the lens. This means:

A) A compressed lens after a larger iris.

B) A compressed lens after a smaller iris.

C) A flattened lens after a larger iris.

D) Both B and C.",D,D,D,Y1,both_correct
3889,"تؤدي خلايا سيرتولي في الخصية دواراً مهماً في:
A) إنتاج التستستيرون
B) تغذية النطاف
C) تثبيط الحاثةFSH
D) تحرض نمو وتطور الأعضاء التناسلية الظاهرة","Sertoli cells in the testis play an important role in:
A) Testosterone production
B) Sperm nourishment
C) Inhibition of FSH
D) Induction of growth and development of the external genitalia",B,B,B,Y2,both_correct
1603,"يقوم المغنيزيوم ب:
A) تنشيط تحلل السكر
B) نقل البوتاسيوم والكالسيوم
C) دور هام في الخواص الكهربائية للأغشية الخلوية
D) كل ما سبق","Magnesium performs:
A) Activating glycolysis
B) Transporting potassium and calcium
C) Playing an important role in the electrical properties of cell membranes
D) All of the above",D,D,D,Y2,both_correct
4757,"يمكن التحكم بالخطأ الأعظمي ع بتغيير:
A) حجم العينة
B) التباين
C) الانحراف
D) B + C","The maximum error can be controlled by changing:
A) Sample size
B) Variance
C) Skewness
D) B + C",A,A,A,Y1,both_correct
34,"العبارة الصحيحة عن المبيض:
A) معظم نسيج المبيض يتألف من اللب.
B) مغطى بظهارة بسيطة اسطوانية.
C) معظم نسيج المبيض يتألف من قشر.
D) اللب والقشر منفصلان عن بعضهما بحاجز ليفي.","The correct statement about the ovary is:
A) Most of the ovarian tissue consists of the medulla.

B) It is covered with simple columnar epithelium.

C) Most of the ovarian tissue consists of the cortex.

D) The medulla and cortex are separated by a fibrous septum.",C,C,C,Y2,both_correct
4592,"قيمة معامل التجديد تساوي:
A) مربع معامل الارتباط الخطي
B) الجذر التربيعي لمعامل الارتباط الخطي
C) ضعفي معامل الارتباط الخطي
D) قيمة ميل مستقيم الانحدار","The value of the renewal coefficient is equal to:
A) the square of the linear correlation coefficient
B) the square root of the linear correlation coefficient
C) twice the linear correlation coefficient
D) the slope of the regression line",A,A,A,Y1,both_correct
4746,"أي الطرق التالية تتيح الحصول على إجابات أدق؟
A) التسجيل
B) الاتصالات الهاتفية
C) البريد
D) المقابلة الشخصية","Which of the following methods provides the most accurate answers?

A) Recording
B) Telephone calls
C) Mail
D) Personal interview",D,D,D,Y1,both_correct
962,"تنتج الخلايا الجريبية في الدرق :
A) T3
B) كالسيتونين
C) T4
D) A+C","Thyroid follicular cells produce:
A) T3
B) Calcitonin
C) T4
D) A+C",D,D,D,Y1,both_correct
4361,"أحد الهرمونات الذي يخضع لتأثير هرمون محرض من الوطاء :
A) GH
B) PRL
C) FSH
D) ADH","One of the hormones that is influenced by a stimulating hormone from the hypothalamus is:
A) GH
B) PRL
C) FSH
D) ADH",C,C,C,Y1,both_correct
2419,"كل ما يلي صحيح عن المعالجة عن قرب ما عدا :
A) تستخدم فيه صيدلانيات إشعاعية مناسبة للعضو
B) تساعد الصيدلانيات الإشعاعية على تخفيف الأعراض الجانبية أو الآذية التي يمكن أن تلحق بالأعضاء أو البني المجاورة للعضو المعالج
C) من أهم المصادر المشعة المستخدمة في العلاج89-Sr , 153-Sm , 90-Yt , 131-I
D) يتم تناول الصيدلانيات فمويا فقط","All of the following are true about brachytherapy EXCEPT:
A) It uses radiopharmaceuticals appropriate to the organ.
B) Radiopharmaceuticals help to reduce side effects or damage to organs or structures adjacent to the treated organ.
C) Some of the most important radioactive sources used in brachytherapy are 89-Sr, 153-Sm, 90-Yt, and 131-I.
D) The radiopharmaceuticals are taken orally only.",D,D,D,Y1,both_correct
1934,"تختزل الصبغة المضاعفة المفردة في نهاية:
A) prophase
B) Metaphase
C) anaphase
D) telophase","The single-double dye is reduced at the end of:
A) prophase
B) metaphase
C) anaphase
D) telophase",C,C,C,Y1,both_correct
933,"يفصل بين المنخرين :
A) NASAL CAVITY
B) العظم الغربالي
C) NASAL SEPTUM
D) كل ما سبق خطأ","The nasal passages are separated by: A) Nasal Cavity
B) Ethmoid bone
C) Nasal Septum
D) All of the above are incorrect",C,C,C,Y1,both_correct
1326,"يكون الصبغي شاذاً بنيوياً في الحالات التالية: (الخطأ)
A) فقد قسم كبير منه
B) إذا تضاعف جزء صغير منه
C) إذا شكل حلقة
D) فقد كاملاً","A chromosome is structurally abnormal in the following cases: (error)
A) A large portion of it is missing
B) A small part of it is duplicated
C) It forms a ring
D) It is completely missing",D,D,D,Y1,both_correct
4611,"علم الإحصاء هو علم قديم ارتبط منذ نشأته بـ التي كانت تجريها الدولة في العصور الوسطى لحساب الضرائب
A) عمليات القسمة
B) عمليات العد
C) عمليات التحويل
D) كل ما سبق","Statistics is an ancient science that, since its inception, has been linked to the operations carried out by the state in the Middle Ages to calculate taxes.

A) Division
B) Counting
C) Transformation
D) All of the above",B,B,B,Y1,both_correct
1916,"يبدي الإنزيم المصنّع للغلوتامين استجابة سواء أدتّ لتنشيطه أم تثبيطه إلى ..... عبر التغيرات التفارغية:
A) 61 مستقبل
B) 12 مستقبل
C) 10 مستقبلات
D) 8 مستقبلات","The enzyme that synthesizes glutamine exhibits a response, whether activating or inhibiting it, to... through allosteric changes:
A) 61 receptors
B) 12 receptors
C) 10 receptors
D) 8 receptors",B,B,B,Y1,both_correct
568,"تمتد من قاعدة كل هرم لبي وتخترق القشر :
A) Medullary piramids
B) Medullary rays
C) Renal Pelvis
D) No correct answer","Extending from the base of each medullary pyramid and penetrating the cortex:
A) Medullary pyramids
B) Medullary rays
C) Renal Pelvis
D) No correct answer",B,B,B,Y1,both_correct
2193,"عند مزاوجة فردين يختلفان بصفتين يكون:
A) هجونة أحادية
B) تصالب ثنائي الجين
C) تصالب أحادي الجين
D) AوC","When two individuals differing in two traits are crossed, the result is:
A) Monohybrid cross
B) Dihybrid cross
C) Monohybrid cross
D) A and C",B,B,B,Y1,both_correct
594,"الوريد الذي يجمع الدم من الدماغ والسحايا
A) الوداجي الباطن
B) الأجوف السفلي
C) القاعدي
D) الصافن الكبير","The vein that collects blood from the brain and meninges:
A) Internal jugular vein
B) Inferior vena cava
C) Basilal vein
D) Greater saphenous vein",A,A,A,Y1,both_correct
2065,"قدرة الكائن الحي على صون شروطه الداخلية
A) Order
B) Homeostasis
C) Adaptation
D) Evolution","The ability of an organism to maintain its internal conditions:
A) Order
B) Homeostasis
C) Adaptation
D) Evolution",B,B,B,Y1,both_correct
1967,"ما يلي صحيح عن التضاعف ما عدا:
A) يؤدي الى فقد المادة الوراثية.
B) قطعة من الصبغي تتكرر على الصبغي نفسه.
C) يرمز له ب dup.
D) ينتج من حادثة تعابر غير متساوي في اثناء انقسام انتصافي.","The following are true about duplication EXCEPT:

A) It leads to the loss of genetic material.

B) A segment of a chromosome is duplicated on the same chromosome.

C) It is symbolized by dup.

D) It results from an unequal crossing over event during meiosis.",A,A,A,Y1,both_correct
3949,"فيما يخص آلية عمل الهرمونات كل ما يأتي صحيح عدا:
A) كل مستقبل يتميز بنوعية عالية لهرمون معين
B) إحداث استجابة خلوية كبيرة تحتاج لكميات كبيرة من الهرمون
C) تزداد شدة الاستجابة الخلوية بزيادة عدد المستقبلات الهرمونية
D) تأثير هرمون ما لا يطال كل خلايا الجسم","Regarding the mechanism of action of hormones, all of the following are true except:
A) Each receptor is highly specific for a particular hormone.
B) A large cellular response requires large amounts of the hormone.
C) The intensity of the cellular response increases with the number of hormone receptors.
D) The effect of a hormone does not reach all cells in the body.",B,B,B,Y1,both_correct
1539,"الأمراض المرتبطة بالصبغي X السائدة: (الخطأ)
A) نادرة
B) تشيع عند الإناث
C) منها متلازمة ريث
D) لا ينتقل من ذكر مصاب","X-linked dominant diseases: (Incorrect)
A) Rare
B) More common in females
C) Including Reith's syndrome
D) Not transmitted from an affected male",D,D,D,Y2,both_correct
4750,"من سلبيات المقابلات المعمقة في جمع البيانات
A) الوقت الطويل
B) تحتاج الى تدريب جيد للمنفذين
C) حجم المعلومات يكون كبير
D) كل ما سبق صحيح","Disadvantages of in-depth interviews in data collection:
A) Long timeframe
B) Requires thorough training for interviewers
C) Large volume of information
D) All of the above are true",D,D,D,Y1,both_correct
268,"القسم من الضلع الواقع بين الرأس والحديبة:
A) الجسم
B) الميزابة
C) العنق
D) الرأس","The section of the rib between the head and the tubercle:
A) Body
B) Grooves
C) Neck
D) Head",C,C,C,Y1,both_correct
4489,"من أجل اختبار الفروض حول معامل الارتباط الخطي تستخدم توزيع:
A) معياري طبيعي
B) ستيودنت بدرجة حرية n-1
C) ستيودنت بدرجة حرية n-2
D) كاي مربع بدرجة حرية n-2","To test hypotheses about the linear correlation coefficient, the following distributions are used:
A) Normalized
B) Student's n-1 degree of freedom
C) Student's n-2 degree of freedom
D) Chi-squared n-2 degree of freedom",C,C,C,Y1,both_correct
2631,"في مركبات العضوية تتعين الخواص الكيميائية تبعا ل
A) الزمرة الوظيفية
B) عدد ذرات الكبون
C) عدد الروابط الاحادية
D) كل ما سبق","In organic compounds, chemical properties are determined by:
A) Functional group
B) Number of carbon atoms
C) Number of single bonds
D) All of the above",A,A,A,Y1,both_correct
3062,"عند استخدام تقنية التصوير SPECT يعطى المريض عنصر مشع مصدر :
A) لجسيمات الفا .
B) لأشعة غاما .
C) لجسيمات بيتا .
D) كل ما ذكر صحيح .","When using SPECT imaging, the patient is given a radioactive source of:

A) Alpha particles.

B) Gamma rays.

C) Beta particles.

D) All of the above.",B,B,B,Y1,both_correct
735,"الخلايا التي تقوم بتصنيع الصفراء :
A) Hepatocytes
B) خلايا كوبفر
C) المرارة
D) ظهارة الاقنية الصفراوية
E) It's cells","Cells that produce bile:
A) Hepatocytes
B) Kupffer cells
C) Gallbladder
D) Bile duct epithelium
E) Its cells",A,A,A,Y2,both_correct
2189,"امتصاص بعض المواد الضوء بطول موجة ومن ثم إصداره بطول موجة أطول يعرف ب
A) الاشعاع
B) التألق
C) الثانية
D) التماهي","The absorption of light at one wavelength by certain materials and its subsequent emission at a longer wavelength is known as: A) Emission
B) Fluorescence
C) Emission
D) Ionization",B,B,B,Y1,both_correct
495,". يوجد الخط الاليوي الامامي على
A) Ischium
B) Pupis
C) Ilium
D) Sacrum","The anterior gluteal line is located on:
A) Ischium
B) Pupis
C) Ilium
D) Sacrum",C,C,C,Y2,both_correct
3143,"عندما تسيطر العقدة الأذينية البطينية يبلغ معدل إطلاق كوامن الفعل:
A) 70 نبضة / دقيقة
B) 80 نبضة / دقيقة
C) 60-40 نبضة / دقيقة
D) 75-55 نبضة / دقيقة","When the atrioventricular node is dominant, the firing rate of action potentials is:
A) 70 bpm
B) 80 bpm
C) 40-60 bpm
D) 55-75 bpm",C,C,C,Y1,both_correct
1665,"تنتج الفسفرة الناتجة عن تفكك الغلوكوز: دورة
A) 5 جزيئات NADH .
B) 15جزيئة NADH .
C) 10جزيئات .NADH
D) 10جزيئات FADH2 .","Phosphorylation resulting from glucose breakdown produces:
A) 5 NADH molecules.

B) 15 NADH molecules.

C) 10 NADH molecules.

D) 10 FADH2 molecules.",C,C,C,Y1,both_correct
4058,"الهدف من آلية المزلاج في العضلات الملساء:
A) زيادة سرعة تقلّص العضلات الملساء
B) مقدرتها على العودة إلى قوة تقلّصها الأصلية بعد ثوان أو دقائق من تطاولها أو قصرها
C) تحافظ على تقلّص مقوٍمديد فى العضلات الملمس باستخدام كمية قليلة جداً من الطاقه
D) جعل قوة تقلص العضلات الملس أكبر من قوة تقلص العضلات الهيكلية","The purpose of the latch mechanism in smooth muscle is:
A) To increase the speed of smooth muscle contraction
B) To enable it to return to its original contractile force after seconds or minutes of lengthening or shortening
C) To maintain a sustained contraction in smooth muscle using a very small amount of energy
D) To make the contractile force of smooth muscle greater than that of skeletal muscle",C,C,C,Y2,both_correct
4017,"العامل الأهم في انتشار الغازات هو:
A) فرق الضغط على وجهي الغشاء
B) سماكة الغشاء
C) المسافة المقطوعة
D) مساحة المقطع","The most important factor in gas diffusion is:
A) Pressure difference across the membrane
B) Membrane thickness
C) Distance traveled
D) Cross-sectional area",A,A,A,Y1,both_correct
2073,"كل مما يلي صحيح عن عمليات إصلاح الدنا ماعدا:
A) اكتشاف الأذية في جزيئة الدنا
B) يقوم إنزيم النوكلياز بقص الدنا المتأذي في نقطتين وإزالة الشدفة المتأذية
C) يملأ إنزيم بوليميراز الدنا الأول بالنكليوتيدات مكان التي تمت إزالتها
D) يربط الليغاز بين نهايات النكليوتيدات مشكلآ روابط فوسفودي استر بينها","All of the following are true about DNA repair processes EXCEPT:
A) Damage is detected in the DNA molecule
B) Nuclease cuts the damaged DNA at two points and removes the damaged fragment
C) DNA polymerase fills in the first nucleotide with nucleotides that have been removed
D) Ligase joins the ends of nucleotides, forming phosphodiester bonds between them",C,C,C,Y1,both_correct
3830,"الفيتامين الأساسي في عملية تشكيل عوامل التخثر:
A) A
B) B
C) C
D) K","The essential vitamin in the formation of clotting factors:
A) A
B) B
C) C
D) K",D,D,D,Y1,both_correct
1151,"يمر عبر الجيب الكهفي ما يلي عدا :
A) الشريان السباتي الباطن.
B) العصب الفكي العلوي.
C) العصب الثالث.
D) العصب الثامن.","The following pass through the cavernous sinus EXCEPT:
A) Internal carotid artery.

B) Maxillary nerve.

C) Third cranial nerve.

D) Eighth cranial nerve.",D,D,D,Y2,both_correct
4400,"يعتمد هرمون النمو في تأثيره على الخلية الهدف على:
A) السوماتوستاتين
B) البرولكتين
C) هرمونات الدرق
D) السوماتوميدين","The effect of growth hormone on target cells depends on:
A) Somatostatin
B) Prolactin
C) Thyroid hormones
D) Somatomedin",D,D,D,Y1,both_correct
448,"- التشريح الناحي يعتمد على:
A) التشريح الوصفي
B) التشريح السريري
C) التشريح التقني
D) التشريح الجهازي","Regional anatomy is based on:
A) Descriptive anatomy
B) Clinical anatomy
C) Technical anatomy
D) Systemic anatomy",A,A,A,Y1,both_correct
288,"عضلة الشهيق الرئيسية:
A) الحجاب الحاجز.
B) رافعات الأضلاع.
C) المستعرضة الصدرية.
D) العضلات الوربية.","The main muscles involved in inhalation are:
A) Diaphragm.

B) Levators.

C) Transverse pectoralis.

D) Intercostal muscles.",A,A,A,Y1,both_correct
4197,"كل مما يلي من وظائف الماء ما عدا:
A) الإسهام في التنظيم الحراري.
B) التخميد والتزليق.
C) دوره كناتج للتفاعل.
D) دوره كناقل.","All of the following are functions of water except:

A) Contributing to thermal regulation.

B) Damping and lubrication.

C) Its role as a reaction product.

D) Its role as a carrier.",C,C,C,Y2,both_correct
1377,"الدور الحيوي للتمائم (FAD-FMN) هو:
A) حامل عابر للزمرة الأمينية
B) حامل عابر الزوج من ذرات الهيدروجين
C) حامل عابر الزمرة الكربوكسيل
D) كل ما سبق خطأ","The vital role of the amulets (FAD-FMN) is:
A) Transient carrier of an amino group
B) Transient carrier of a pair of hydrogen atoms
C) Transient carrier of a carboxyl group
D) All of the above are incorrect",B,B,B,Y2,both_correct
4640,"من مصادر بيانات الإحصاء الطبي ما عدا:
A) التحريات والمسوحات الوبائية المجراة
B) الأبحاث العلمية
C) الإبلاغ عن الأمراض السارية
D) مفردات المجتمع","All sources of medical statistics data are excluded:
A) Epidemiological investigations and surveys
B) Scientific research
C) Reporting of communicable diseases
D) Community data",D,D,D,Y1,both_correct
1647,"يكون الشخص مريض بداء السكري إذا كان الغلوكوز الصيامي عنده:
A) اقل من ١٢٥ ملغ / دل
B) أكثر من ١٢٥ غ\ل
C) أكثر من ١٢٥ ملغ / دل
D) اقل من ١٢٥ غ\ل","A person is diagnosed with diabetes if their fasting glucose level is:
A) Less than 125 mg/dL
B) More than 125 g/dL
C) More than 125 mg/dL
D) Less than 125 g/dL",C,C,C,Y2,both_correct
507,". ليست من العضلات الامامية للساق:
A) Anterior tibialis
B) Gracilis
C) Extensor digitorum longus
D) Extensor halluces longus","Which of the following are not anterior leg muscles?
A) Anterior tibialis
B) Gracilis
C) Extensor digitorum longus
D) Extensor hallucis longus",B,B,B,Y2,both_correct
612,"أقسام البلعوم ما عدا:
A) الأنفي
B) الفموي
C) المريني
D) الحنجري","All sections of the pharynx except:
A) Nasal
B) Oral
C) Erythraeum
D) Laryngeal",C,C,C,Y1,both_correct
2582,"كل العبارات التالية خطا عن المانومتر الزئبقي ما عادة:
A) يتكون من انبوب شاقولي على شكل U
B) يحوي بعض الزئبق
C) أحد طرفيه مفتوح على الهواء والاخر موصل الى وعاء يحوي غاز
D) كل ما سبق صحيح","All of the following statements about a mercury manometer are incorrect:
A) It consists of a U-shaped vertical tube
B) It contains some mercury
C) One end is open to the air and the other is connected to a container holding gas
D) All of the above are correct",D,D,D,Y1,both_correct
4091,"يقتصر الامتصاص المعدي على :
A) الشحوم
B) السكريات
C) الماء والشوارد
D) البروتين","Gastric absorption is limited to:
A) Fats
B) Sugars
C) Water and electrolytes
D) Protein",C,C,C,Y1,both_correct
