id,level,specialty,umbrella_specialty,question_old,question,opa,opb,opc,opd,ope,opf,answer,group,answer_text,
55,Y1,Anatomy,Anatomy,يقع المستقيم بين :,أين يقع المستقيم؟,القولون النازل والقولون السيني,القولون السيني والقناة الشرجية,القولون السيني والقولون المعترض,القولون المعترض والقولون السيني,,,B,ABCD,القولون السيني والقناة الشرجية,
56,Y1,Anatomy,Anatomy,حديبات مونتغومري هي غدد,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,دهنية,لعابية,عرقية,صباغية,,,A,ABCD,دهنية,"""إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟"""
64,Y1,Anatomy,Anatomy,المحرك لعضلات اللسان :,ما هو العصب المحرك لعضلات اللسان؟,11,7,12,9,,,C,ABCD,12,
73,Y1,Anatomy,Anatomy,العصب الحجابي فرع الضفيرة :,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,العضدية,القطنية,الرقبية,العجزية,,,C,ABCD,الرقبية,
74,Y1,Anatomy,Anatomy,يفرز الأدرينالين من :,من أين يفرز الأدرينالين؟,قشرة الكظر,لب الكظر,الطحال,البنكرياس,,,B,ABCD,لب الكظر,
75,Y1,Anatomy,Anatomy,يتشكل الوريد الأجوف السفلي من إتحاد :,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريدين الحرقفيين الخارجي والداخلي,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الفخذيين,كل ما سبق خطأ,,,B,ABCD,الوريدين الحرقفيين المشتركين الأيمن والأيسر,
78,Y2,Histology and Anatomy,Anatomy,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,الخارجية,المتوسطة,الداخلية والمتوسطة,الداخلية,,,B,ABCDE,المتوسطة,
79,Y1,Anatomy,Anatomy,مما ينتج هرمون T4؟,مما ينتج هرمون T4؟,التوتة,الكظر,الدرق,النخامى,,,C,ABCD,الدرق,
85,Y2,Anatomy,Anatomy,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,الظنبوبي الأمامي,الظنبوبي الخلفي,الشظوية الطويلة,الشظوية القصيرة,قابضة الإبهام الطويلة,,B,ABCDE,الظنبوبي الخلفي,
87,Y1,Anatomy,Anatomy,تقع المنطقة الشمية في :,أين تقع المنطقة الشمية؟,سقف الأنف,مقدمة الأنف,الجدار الوحشي للأنف,الجدار الأنسى للأنف,,,A,ABCD,سقف الأنف,
88,Y1,Anatomy,Anatomy,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,جبل العانة,الشفر الصغير,الشفر الكبير,دهليز الفرج,,,A,ABCD,جبل العانة,
98,Y1,Anatomy,Anatomy,يتوضع الكولون السيني في,أين يتوضع الكولون السيني؟,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,الناحية المغبنية اليسرى,
103,Y1,Anatomy,Anatomy,ما القسم العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف:,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الصدفة والقسم الحجاجي,الثلمة الغربالية,الصفيحة الغربالية العمودية,القسم الأنفي,,,B,ABCD,الثلمة الغربالية,
105,Y1,Anatomy,Anatomy,الفروع الانتهائية للسبات الظاهر:,ما هي الفروع الانتهائية للسبات الظاهر؟,الوتدي والفكي,الفكي والصدغي والسطحي,الفكي والوجهي,لا شيء مما سبق,,,B,ABCD,الفكي والصدغي والسطحي,
113,Y1,Anatomy,Anatomy,. عصب الفك العلوي يمر من,أين يمر عصب الفك العلوي؟,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,الشق الحجابي العلوي,,,A,ABCD,الثقبة المدورة,
114,Y1,Anatomy,Anatomy,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,العرف الوتدي,السرج التركي,المنقار الوتدي,الثقبة المدورة,,,C,ABCD,المنقار الوتدي,
115,Y1,Anatomy,Anatomy,ما اسم العظم الذي يتوضع كيس الدمع عليه :,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الدمعي أنسي الحجاج,الجبهي وحشي الحجاج,الفك العلوي أنسي الحجاج,الجبهي أنسي الحجاج,,,A,ABCD,الدمعي أنسي الحجاج,
116,Y1,Anatomy,Anatomy,ينشأ الشريان السباتي المشترك الأيسر من :,من أين ينشأ الشريان السباتي المشترك الأيسر؟,قوس الأبهر مباشرة,الأبهر البطني,الأبهر الصاعد,الشريان العضدي الرأسي,,,A,ABCD,قوس الأبهر مباشرة,
120,Y1,Anatomy,Anatomy,ما طول الأسهر,ما طول الأسهر؟,45 سم,15سم,6أمتار,1أمتار,,,A,ABCD,45 سم,
128,Y1,Anatomy,Anatomy,يعبر الشريان السحائي الأوسط عبر:,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الثقبة البيضية,الثقبة المدورة,الثقبة الشوكية,الثقبة الإبرية الخشانية,,,C,ABCD,الثقبة الشوكية,
138,Y1,Anatomy,Anatomy,الطية الجلدية التي تغطي رأس القضيب تدعى,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الحشفة,لفافة بوك,القلفة,البصلة,,,C,ABCD,القلفة,
145,Y1,Anatomy,Anatomy,- ترتكز على الحفرة المدورية :,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,العضلة السدادية الظاهرة,البسواس,المشطية,المربعة الفخذية,,,A,ABCD,العضلة السدادية الظاهرة,
147,Y1,Anatomy,Anatomy,أين يتوضع الدرز الأكليلي :,أين يتوضع الدرز الأكليلي؟,يتوضع بين العظم الجبهي والجداريين.,يتوضع بين الجداريين.,يتوضع بين الجداريين والعظم القذالي في الخلف.,كل ما سبق خطأ.,,,A,ABCD,يتوضع بين العظم الجبهي والجداريين.,
152,Y2,Anatomy,Anatomy,ماذا يفعل الرباط المتصالب الأمامي:,ماذا يفعل الرباط المتصالب الأمامي؟,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدبة الظنبوبية,يمنع انزياح الساق للأمام,يمنع انزياح الفخذ للأمام,,,c,ABCDE,يمنع انزياح الساق للأمام,
157,Y1,Anatomy,Anatomy,ما العصب القحفي الذي يعبر الثقبة البيضية :,ما العصب القحفي الذي يعبر الثقبة البيضية؟,البصري,العينى,الفكي السفلي,الفكي العلوى,,,C,ABCD,الفكي السفلي,
159,Y1,Anatomy,Anatomy,تتفرع القصبات الفصية الى أي قصبات؟,إلى أي قصبات تتفرع القصبات الفصية؟,تنفسية,رئيسية,قطعية شدفية,ليس كل ما سبق,,,C,ABCD,قطعية شدفية,
161,Y1,Anatomy,Anatomy,توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر في :,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,القشرة,النخاع,جذع الدماغ,البصلة السيسائية,,,C,ABCD,جذع الدماغ,
166,Y1,Anatomy,Anatomy,على ماذا يحوي البلعوم الفموي اللوزتين؟,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,الفمويتين,البلعوميتين,الحنكيتين,الانفيتين,,,C,ABCD,الحنكيتين,
167,Y1,Anatomy,Anatomy,. على اي من وجوه الكبد التالية يوجد مسكن المرارة:,على أي من وجوه الكبد يوجد مسكن المرارة؟,العلوي,الخلفي,السفلي,الامامي,,,C,ABCD,السفلي,
168,Y1,Anatomy,Anatomy,ما هو العصب القحفي الثاني:,ما هو العصب القحفي الثاني؟,البصري - حاسي,العيني - حاسي,البصري - حسي,العيني – حسي,,,A,ABCD,البصري - حاسي,
175,Y2,Anatomy,Anatomy,ما وظيفة تحت الكتفية:,ما وظيفة العضلة تحت الكتفية؟,دوران وحشي للكتف.,دوران أنسي للكتف.,عطف المرفق.,عطف الكتف.,ولا واحد مما سبق.,,b,ABCDE,دوران أنسي للكتف.,
178,Y2,Histology,Anatomy,في ارتكاز المشيمة المعيب previa placenta تتوضع المشيمة:,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,الجدار الأمامي للرحم.,الجدار الخلفي للرحم.,بين الجنين والمهبل.,في الفوهة الداخلية لعنق الرحم.,,,C,ABCD,بين الجنين والمهبل.,
181,Y1,Anatomy,Anatomy,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,الام الجافية,الغشاء العنكبوتي,الام الحنون,كل ماسبق خطأ,,,A,ABCD,الام الجافية,
184,Y1,Anatomy,Anatomy,الألياف التي تربط المراكز القشرية بالمحيط تُدعى:,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,إسقاطية,ترابطية,مشاركة,صوارية,,,A,ABCD,إسقاطية,
185,Y1,Anatomy,Anatomy,تتمادى البصلة في الأمام لتشكل في جسم القضيب:,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,الجسم الكهفي,الجسم الاسفنجي,الساق الوسطى,لا شيء مما سبق,,,B,ABCD,الجسم الاسفنجي,
193,Y1,Anatomy,Anatomy,أكبر غدد الجسم,ما هي أكبر غدد الجسم؟,الكبد,الطحال,الدرقية,التيموس,,,A,ABCD,الكبد,
194,Y1,Anatomy,Anatomy,يتفرع الشريان الكلوي لخمسة شرايين:,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,قطعية,فصية,بين الفصوص,بين الفصيصات,,,A,ABCD,قطعية,
196,Y1,Anatomy,Anatomy,بماذا ينتهي الشريان الوجهي:,بماذا ينتهي الشريان الوجهي؟,الشريان العيني,السباتي الظاهر,الشريان الزاوي,اللساني,,,C,ABCD,الشريان الزاوي,
201,Y2,Histology,Anatomy,طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب :,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,منطقة أرومة الخلايا السنية,المنطقة الغنية بالخلايا.,المنطقة الخالية من الخلايا,كل ما سبق خاطئ.,,,B,ABCD,المنطقة الغنية بالخلايا.,
202,Y1,Anatomy,Anatomy,تقع فوهة مصب الجيب الأكليلي :,أين تقع فوهة مصب الجيب الأكليلي؟,أمام وأسفل مصب الأجوف العلوي,أمام وأعلى مصب الأجوف السفلي,أمام وأسفل مصب الأجوف السفلي,إلى الخلف من مصب الأجوف السفلي,,,C,ABCD,أمام وأسفل مصب الأجوف السفلي,
203,Y1,Anatomy,Anatomy,. الزاوية الامامية السفلية للعظم الجداري,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,جبهية,وتدية,قذالية,خشائية,,,B,ABCD,وتدية,
206,Y1,Anatomy,Anatomy,أي عصب هو المحرك لعضلات اللسان:,أي عصب هو المحرك لعضلات اللسان؟,11,7,12,9,,,C,ABCD,12,
208,Y1,Anatomy,Anatomy,ما البروز العظمي الذي يحتوي الوجه الداخلي لفرع الفك السفلي عليه:,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,الشوكة الذقنية,الناشزة الذقنية,اللسين,الخط الضرسي اللامي,,,C,ABCD,اللسين,
209,Y1,Anatomy,Anatomy,مواد تفرزها الغدد استجابة للتنبيه وترحل عبر الدم :,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,الغدد,الهرمونات,المستقبلات,لا شئ مما سبق,,,B,ABCD,الهرمونات,
210,Y1,Anatomy,Anatomy,ما الزاوية بين قبضة وجسم القص :,ما هي الزاوية بين قبضة وجسم القص؟,لويس,مونتغومري,بيل,لا شئ مما سبق,,,A,ABCD,لويس,
215,Y1,Anatomy,Anatomy,. يخرج العصب الفكي العلوي من الجمجمة عبر:,من أين يخرج العصب الفكي العلوي من الجمجمة؟,الثقبة البيضية,الثقبة الشوكية,الثقبة المدورة,الثقبة الوداجية,,,C,ABCD,الثقبة المدورة,
217,Y2,Anatomy,Anatomy,يتحدد المنصف العلوي جانبيا بـ:,ما الذي يحدد المنصف العلوي جانبياً؟,الجنية المنصفية.,النهاية السفلية للعضلة الطويلة العنقية.,منشأ العضلة القصية اللامية.,منشأ العضلة القصية الدرقية.,اللقافة الجانبية للقوس الأبهرية.,,A,ABCDE,الجنية المنصفية.,
219,Y1,Anatomy,Anatomy,مما يمر عبرهما الهواء إلى جوف الأنف :,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,CHOANA,المنخرين,المنعرين,كل ما سبق خطأ,,,B,ABCD,المنخرين,
223,Y2,Anatomy,Anatomy,ترتكز العضلة العريضة الظهرية : (2017 ثانية),أين ترتكز العضلة العريضة الظهرية؟,قاع أخدود ذات الرأسين.,أنسي اخدود ذات الرأسين.,وحشي أخدود ذات الرأسين.,الناتئ الغرابي.,حديبة العضد الكبرى.,,A,ABCDE,قاع أخدود ذات الرأسين.,
225,Y1,Anatomy,Anatomy,ما القولون الذي يمتد بشكل أفقي :,ما هو القولون الذي يمتد بشكل أفقي؟,الكولون النازل,الكولون الصاعد,الكولون المعترض,كل ما سبق خطأ,,,C,ABCD,الكولون المعترض,
228,Y1,Anatomy,Anatomy,عدد القطع العصعصية في النخاع الشوكي هو :,كم عدد القطع العصعصية في النخاع الشوكي؟,5,4,2,1,,,D,ABCD,1,
230,Y1,Anatomy,Anatomy,ما الطبقة التي تمثلها العضلة الدافعة في المثانة,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,المخاطية,العضلية,المصلية,تحت المخاطية,,,B,ABCD,العضلية,
231,Y2,Histology,Anatomy,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية :,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,خلايا لانغرهانس.,خلايا ميركل.,خلايا الميلانين.,a+b,,,B,ABCD,خلايا ميركل.,
235,Y1,Anatomy,Anatomy,ما اسم الكرة الصغيرة فوق قمة الغضروف :,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,الطرجهالي,القريني,الإسفيني,الفلكة,,,B,ABCD,القريني,
236,Y1,Anatomy,Anatomy,لا توجد الغدد الزهمية في :,أين لا توجد الغدد الزهمية؟,راحة اليد وأخمص القدم,حشفة القضيب,دهليز الفرج,B+C,,,A,ABCD,راحة اليد وأخمص القدم,
240,Y1,Anatomy,Anatomy,العصب المسؤول عن حركات عضلات الوجه التعبيرية:,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,السابع,الخامس,الثالث,الأول,,,A,ABCD,السابع,
241,Y1,Anatomy,Anatomy,الزاوية الخلفية السفلية في العظم الجداري:,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,خشانية,وتدية,قذالية,جبهية,,,A,ABCD,خشانية,
245,Y1,Anatomy,Anatomy,يسمى فرع الفك السفلي ايضا:,ما هو الاسم الآخر لفرع الفك السفلي؟,القاعدة.,جسم الفك السفلي.,الرأد.,الحافة السنخية.,,,C,ABCD,الرأد.,
253,Y2,Anatomy,Anatomy,ماذا يفعل الرباط المتصالب الأمامى:,ماذا يفعل الرباط المتصالب الأمامي؟,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدية الظنبوبية,يمنع ازياح الساق للأمام,يمنع ازياح الفخذ للأمام,,,C,ABCD,يمنع ازياح الساق للأمام,
255,Y1,Anatomy,Anatomy,يعبر العصب الوجهي عبر الثقبة ال:,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,الثقبة الإبرية الخشانية,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,,,A,ABCD,الثقبة الإبرية الخشانية,
262,Y1,Anatomy,Anatomy,تفرز خلايا بيتا في البنكرياس :,ماذا تفرز خلايا بيتا في البنكرياس؟,الغلوكاغون,الأنسولين,السوماتوستاتين,لا شيء مما سبق,,,B,ABCD,الأنسولين,
267,Y1,Anatomy,Anatomy,التامور الخارجي الذي لا يرتبط بالقلب,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي :,لا شيء مما سبق,,,A,ABCD,التامور الليفي,
269,Y1,Anatomy,Anatomy,القسم من الضلع الواقع بين الرأس والحديبة:,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,الجسم,الميزابة,العنق,الرأس,,,C,ABCD,العنق,
273,Y1,Anatomy,Anatomy,مع أي عظم يتمفصل الظنبوب في الأسفل :,مع أي عظم يتمفصل الظنبوب في الأسفل؟,الكعب,العقب,القعب,الفخذ,,,C,ABCD,القعب,
277,Y2,Anatomy,Anatomy,ترتبط من العضلات العميقه التاليه للمثلث الخلفى للعنق بحدبه الاطلس الخلفيه,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,المستقيمه الرأسيه الخلفيه الصغيرة,المستقيمه الرأسيه الجانبيه,المستقيمه الرأسيه الاماميه,المستقيمه الرأسيه الخلفيه الكبيره,المنحرفه الرأسيه السفليه,,A,ABCDE,المستقيمه الرأسيه الخلفيه الصغيرة,
279,Y1,Anatomy,Anatomy,يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق:,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,دهليز الفم,اللثتين,جوف الفم المخصوص,القوس السنخية,,,C,ABCD,جوف الفم المخصوص,
281,Y1,Anatomy,Anatomy,. البنية التي تغطي السطوح الامامي والانسي والوحشي للخصية هي,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,لفافة كولس,اللفافة المنوية الخارجية,الغلالة الغمدية,اللفافة المنوية الداخلية,,,C,ABCD,الغلالة الغمدية,
282,Y1,Anatomy,Anatomy,موقع الغدة الدرقية,أين يقع موقع الغدة الدرقية؟,تحت الحنجرة وعلى جانبي الرغامي وأمامها,يتصل الفصين مع بعضهما بجسر نسيجي يدعى البرزخ,تحاط بلفافة من اللفافة الرقبية السطحية,A + B,,,A,ABCD,تحت الحنجرة وعلى جانبي الرغامي وأمامها,
283,Y1,Anatomy,Anatomy,تتوضع مستقبلات الشم في :,أين تتوضع مستقبلات الشم؟,الجدار الوحشى للأنف.,أرضية الأنف.,سقف الأنف.,كل ما سبق خطأ .,,,C,ABCD,سقف الأنف.,
284,Y1,Anatomy,Anatomy,هرمونات الغدة النخامية ذات طبيعة:,ما هي طبيعة هرمونات الغدة النخامية؟,شحمية,بيتيدية,سكرية,لا شيء مما سبق,,,B,ABCD,بيتيدية,
285,Y2,Anatomy,Anatomy,ما هو مفصل المرفق:,ما هو مفصل المرفق؟,نموذج رزى,لا يتصل مع الكعبرى الزندى العلوى,عبره تتم حركه الكب والاستلقاء,لا يشارك رأس الكعبره فى تكوينه,,,A,ABCD,نموذج رزى,
286,Y2,Anatomy,Anatomy,تنشأ العضلة المدورة الكبيرة بشكل أساسي من :,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,أسفل الحافة الوحشية لعظم لوح الكتف.,الحافة السفلية لشوك الكتف.,الحفرة تحت الكتفية لعظم اللوح.,الحفرة تحت الشوكية لعظم اللوح.,أعلى الحافة الوحشية لعظم اللوح.,,A,ABCDE,أسفل الحافة الوحشية لعظم لوح الكتف.,
287,Y1,Anatomy,Anatomy,أين يتوضع الأبهر النازل البطني؟,أين يتوضع الأبهر النازل البطني؟,أيسر الأجوف السفلي,خلف الأجوف السفلي,أيمن الأجوف السفلي,أمام الأجوف السفلي,,,A,ABCD,أيسر الأجوف السفلي,
288,Y1,Anatomy,Anatomy,يجاور السطح العلوي لمثانة الرجل,ما الذي يجاور السطح العلوي لمثانة الرجل؟,عرى اللفائفي والكولون السيني,الجيب المثاني الرحمي,الجيب المستقيمي المثاني,لا شيء مما سبق,,,A,ABCD,عرى اللفائفي والكولون السيني,
289,Y1,Anatomy,Anatomy,عضلة الشهيق الرئيسية:,ما هي عضلة الشهيق الرئيسية؟,الحجاب الحاجز.,رافعات الأضلاع.,المستعرضة الصدرية.,العضلات الوربية.,,,A,ABCD,الحجاب الحاجز.,
290,Y1,Anatomy,Anatomy,يدخل سرة الكلية من الخلف للأمام بالترتيب:,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,شريان – وريد – حويضة,وريد – شريان – حويضة,حويضة – شريان – وريد,حويضة – وريد – شريان,,,C,ABCD,حويضة – شريان – وريد,
302,Y1,Anatomy,Anatomy,تشاهد التلمة الكعبرية للزند على:,أين تشاهد التلمة الكعبرية للزند؟,الوجه الوحشي للزج.,الوجه الإنسي السفلي للناتي الإبري.,الوجه الوحشي للناتئ المنقاري.,الوجه الأنسي للزج.,,,C,ABCD,الوجه الوحشي للناتئ المنقاري.,
308,Y1,Anatomy,Anatomy,تتوضع الثقبة العوراء في اللسان :,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم الإنتهائي,في ذروة اللسان,أمام الثلم الإنتهائي,على حافتي اللسان,,,A,ABCD,خلف الكلم الإنتهائي,
313,Y1,Anatomy,Anatomy,أطول أجزاء الأنبوب الهضمي :,ما هو أطول أجزاء الأنبوب الهضمي؟,المعي الدقيق,المري,المعدة,المعي الغليظ,,,A,ABCD,المعي الدقيق,
315,Y2,Anatomy,Anatomy,إن ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية:,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,كمثرية - توأمية علوية - سادة باطنة - توأمية سفلية,كمثرية - توأمية علوية - توأمية سفلية - سادة باطنة,كمثرية - سادة باطنة - توأمية علوية - توأمية سفلية,توأمية علوية - سادة باطنة - كمثرية - توأمية سفلية,سادة باطنة - كمثرية - توأمية علوية - توأمية سفلية,,A,ABCDE,كمثرية - توأمية علوية - سادة باطنة - توأمية سفلية,
325,Y1,Anatomy,Anatomy,الطبقة المبطنة للتامور الليفي:,ما هي الطبقة المبطنة للتامور الليفي؟,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي,لا شيء مما سبق,,,B,ABCD,التامور المصلي الجداري,
330,Y1,Anatomy,Anatomy,أطول أجزاء أنبوب الهضم:,ما هو أطول أجزاء أنبوب الهضم؟,المري,المعي الدقيق,الكولون,البلعوم,,,B,ABCD,المعي الدقيق,
331,Y2,Histology,Anatomy,الخلايا الشحمية قادرة على تصنيع Fatty acids من الغلوكوز هي عملية تتسرع بتاثير :,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,الغلوكاغون,الانسولين,الباراثورمون,الثيروكسين,الثالث والرابع,,B,ABCDE,الانسولين,
338,Y1,Anatomy,Anatomy,يربط الرحم بجدران الحوض الجانبية الرباط:,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الاربي,المدور,العريض,الوريدي,,,C,ABCD,العريض,
339,Y1,Anatomy,Anatomy,لون لب الكظر :,ما هو لون لب الكظر؟,بني غامق,أبيض,مائل للصفرة,رمادي,,,A,ABCD,بني غامق,
347,Y2,Anatomy,Anatomy,تشكل معظم الكتلة العضلية للسان.,ما الذي يشكل معظم الكتلة العضلية للسان؟,ذقنية لسانية,ضرسية لامية,لامية لسانية,ذقنية لامية,ذات البطنين,,A,ABCDE,ذقنية لسانية,
349,Y1,Anatomy,Anatomy,أصغر الحليمات الذوقية وأكثرها عدداً:,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الخيطية,الفطرية,الورقية,المحوطة,,,A,ABCD,الخيطية,
354,Y1,Anatomy,Anatomy,عضلات طويلة تربط الفقرات مع بعضها:,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,عضلات جدار البطن الأمامي,عضلات العمود الفقري,عضلات الصدر السطحية,عضلات الصدر العميقة,,,B,ABCD,عضلات العمود الفقري,
355,Y1,Anatomy,Anatomy,اضيق قسم في جذع الدماغ,ما هو أضيق قسم في جذع الدماغ؟,مستوى المزلاج,مستوى الوصل البصلي الجسري,مستوى الدماغ المتوسط,مستوى منتصف الجسر,,,C,ABCD,مستوى الدماغ المتوسط,
