id,input_original,input_rewritten,ground_truth
114,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,المنقار الوتدي
115,ما اسم العظم الذي يتوضع كيس الدمع عليه :,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الدمعي أنسي الحجاج
116,ينشأ الشريان السباتي المشترك الأيسر من :,من أين ينشأ الشريان السباتي المشترك الأيسر؟,قوس الأبهر مباشرة
120,ما طول الأسهر,ما طول الأسهر؟,45 سم
128,يعبر الشريان السحائي الأوسط عبر:,من أي ثقبة يعبر الشريان السحائي الأوسط؟,الثقبة الشوكية
138,الطية الجلدية التي تغطي رأس القضيب تدعى,ما اسم الطية الجلدية التي تغطي رأس القضيب؟,القلفة
139,مكان شائع لإنحشار الأجسام الأجنبية في البلعوم الحنجري :,ما هو المكان الشائع لانحشار الأجسام الأجنبية في البلعوم الحنجري؟,الردب الكمثري
145,- ترتكز على الحفرة المدورية :,على ماذا ترتكز الحفرة المدورية؟,العضلة السدادية الظاهرة
147,أين يتوضع الدرز الأكليلي :,أين يتوضع الدرز الأكليلي؟,يتوضع بين العظم الجبهي والجداريين.
152,ماذا يفعل الرباط المتصالب الأمامي:,ماذا يفعل الرباط المتصالب الأمامي؟,يمنع انزياح الساق للأمام
157,ما العصب القحفي الذي يعبر الثقبة البيضية :,ما العصب القحفي الذي يعبر الثقبة البيضية؟,الفكي السفلي
159,تتفرع القصبات الفصية الى أي قصبات؟,تتفرع القصبات الفصية إلى أي قصبات؟,قطعية شدفية
161,توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر في :,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,جذع الدماغ
166,على ماذا يحوي البلعوم الفموي اللوزتين؟,على ماذا يحوي البلعوم الفموي اللوزتين؟,الحنكيتين
167,. على اي من وجوه الكبد التالية يوجد مسكن المرارة:,على أي وجه من وجوه الكبد يوجد مسكن المرارة؟,السفلي
168,ما هو العصب القحفي الثاني:,ما هو العصب القحفي الثاني؟,البصري - حاسي
175,ما وظيفة تحت الكتفية:,ما وظيفة العضلة تحت الكتفية؟,دوران أنسي للكتف.
178,في ارتكاز المشيمة المعيب previa placenta تتوضع المشيمة:,أين تتوضع المشيمة في حالة ارتكاز المشيمة المعيب (placenta previa)؟,بين الجنين والمهبل.
181,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,الام الجافية
183,تتوضع المنطقة الشمية في :,أين تتوضع المنطقة الشمية؟,القسم العلوي من مخاطية الأنف
184,الألياف التي تربط المراكز القشرية بالمحيط تُدعى:,ما اسم الألياف التي تربط المراكز القشرية بالمحيط؟,إسقاطية
185,تتمادى البصلة في الأمام لتشكل في جسم القضيب:,ماذا تشكل البصلة عند تمددها إلى الأمام في جسم القضيب؟,الجسم الاسفنجي
193,أكبر غدد الجسم,ما هي أكبر غدة في جسم الإنسان؟,الكبد
194,يتفرع الشريان الكلوي لخمسة شرايين:,كم عدد الشرايين التي يتفرع إليها الشريان الكلوي، وما هي؟,قطعية
196,بماذا ينتهي الشريان الوجهي:,بماذا ينتهي الشريان الوجهي؟,الشريان الزاوي
201,طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب :,ما هي الطبقة الأكثر عمقاً والأقرب لجوهر اللب في لب السن؟,المنطقة الغنية بالخلايا.
202,تقع فوهة مصب الجيب الأكليلي :,أين تقع فوهة مصب الجيب الأكليلي؟,أمام وأسفل مصب الأجوف السفلي
203,. الزاوية الامامية السفلية للعظم الجداري,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,وتدية
208,ما البروز العظمي الذي يحتوي الوجه الداخلي لفرع الفك السفلي عليه:,ما البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,اللسين
209,مواد تفرزها الغدد استجابة للتنبيه وترحل عبر الدم :,ما المواد التي تفرزها الغدد استجابةً للتنبيه وترحل عبر الدم؟,الهرمونات
210,ما الزاوية بين قبضة وجسم القص :,ما الزاوية بين قبضة وجسم القص؟,لويس
215,. يخرج العصب الفكي العلوي من الجمجمة عبر:,من أي فتحة يخرج العصب الفكي العلوي من الجمجمة؟,الثقبة المدورة
217,يتحدد المنصف العلوي جانبيا بـ:,ما الذي يحدد المنصف العلوي من الجانبين؟,الجنية المنصفية.
218,- تتمفصل الوجيهات الموجودة على النواتي المستعرضة للفقرة الصدرية مع:,مع ماذا تتمفصل الوجيهات الموجودة على النواتئ المستعرضة للفقرة الصدرية؟,رأس الضلع الموافق
223,ترتكز العضلة العريضة الظهرية : (2017 ثانية),أين ترتكز العضلة العريضة الظهرية؟,قاع أخدود ذات الرأسين.
230,ما الطبقة التي تمثلها العضلة الدافعة في المثانة,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,العضلية
231,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية :,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,خلايا ميركل.
235,ما اسم الكرة الصغيرة فوق قمة الغضروف :,ما اسم الكرة الصغيرة الموجودة فوق قمة الغضروف؟,القريني
236,لا توجد الغدد الزهمية في :,أين لا توجد الغدد الزهمية في الجسم؟,راحة اليد وأخمص القدم
240,العصب المسؤول عن حركات عضلات الوجه التعبيرية:,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,السابع
245,يسمى فرع الفك السفلي ايضا:,ما الاسم الآخر لفرع الفك السفلي؟,الرأد.
262,تفرز خلايا بيتا في البنكرياس :,ماذا تفرز خلايا بيتا في البنكرياس؟,الأنسولين
267,التامور الخارجي الذي لا يرتبط بالقلب,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,التامور الليفي
269,القسم من الضلع الواقع بين الرأس والحديبة:,ما اسم القسم من الضلع الواقع بين الرأس والحديبة؟,العنق
273,مع أي عظم يتمفصل الظنبوب في الأسفل :,مع أي عظم يتمفصل الظنبوب في الأسفل؟,القعب
277,ترتبط من العضلات العميقه التاليه للمثلث الخلفى للعنق بحدبه الاطلس الخلفيه,ما العضلة العميقة من عضلات المثلث الخلفي للعنق التي ترتبط بالحدبة الخلفية للأطلس؟,المستقيمه الرأسيه الخلفيه الصغيرة
279,يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق:,ما الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,جوف الفم المخصوص
281,. البنية التي تغطي السطوح الامامي والانسي والوحشي للخصية هي,ما البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,الغلالة الغمدية
284,هرمونات الغدة النخامية ذات طبيعة:,ما الطبيعة الكيميائية لهرمونات الغدة النخامية؟,بيتيدية
285,ما هو مفصل المرفق:,ما هو مفصل المرفق؟,نموذج رزى
286,تنشأ العضلة المدورة الكبيرة بشكل أساسي من :,من أين تنشأ العضلة المدورة الكبيرة بشكل أساسي؟,أسفل الحافة الوحشية لعظم لوح الكتف.
288,يجاور السطح العلوي لمثانة الرجل,ما الذي يجاور السطح العلوي لمثانة الرجل؟,عرى اللفائفي والكولون السيني
289,عضلة الشهيق الرئيسية:,ما هي عضلة الشهيق الرئيسية؟,الحجاب الحاجز.
290,يدخل سرة الكلية من الخلف للأمام بالترتيب:,ما هو الترتيب الصحيح للتراكيب التي تدخل سرة الكلية من الخلف للأمام؟,حويضة – شريان – وريد
302,تشاهد التلمة الكعبرية للزند على:,أين تُشاهد التلمة الكعبرية للزند؟,الوجه الوحشي للناتئ المنقاري.
308,تتوضع الثقبة العوراء في اللسان :,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم الإنتهائي
313,أطول أجزاء الأنبوب الهضمي :,ما هو أطول جزء من أجزاء الأنبوب الهضمي؟,المعي الدقيق
330,أطول أجزاء أنبوب الهضم:,ما هو أطول جزء من أجزاء أنبوب الهضم؟,المعي الدقيق
354,عضلات طويلة تربط الفقرات مع بعضها:,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,عضلات العمود الفقري
358,يقع التلفيف خلف المركزي في :,أين يقع التلفيف خلف المركزي؟,الفص الجداري.
361,التلفيف خلف المركزي يحوي باحة :,ما الباحة التي يحويها التلفيف خلف المركزي؟,الحس الجسدي الأولية
367,أصغر الحليمات الذوقية وأكثرها عدداً:,ما أصغر الحليمات الذوقية وأكثرها عدداً؟,الخيطية
377,عضلات لها منشأ عظمي وترتكز على باطن جلد الوجه:,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,عضلات الوجه التعبيرية
380,أطول أجزاء أنبوب الهضم هي:,ما هو أطول جزء من أجزاء أنبوب الهضم؟,المعي الدقيق
382,ينشأ الجذع الرئوي من :,من أين ينشأ الجذع الرئوي؟,البطين الأيمن
391,. عدد اشفاع الاعصاب الرقيبة,ما هو عدد أشعاع الأعصاب الرقيبة؟,8 ازواج من اشفاع الاعصاب
392,المنطقة المتوسطة من نواح البطن:,ما هي المنطقة المتوسطة من نواحي البطن؟,السرية
394,يصل بين الأذينة اليسرى والبطين الأيسر :,ما الصمام الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,فوهة التاجي
395,يعطي الرباط الحرقفي القطني منشأ ل:,ما الذي يعطي الرباط الحرقفي القطني منشأً له؟,العضلة المربعة القطنية.
397,عدد  الأهرام التي يتألف اللب الكلوي منها :,كم عدد الأهرام التي يتألف منها اللب الكلوي؟,۱۲ هرم
453,القسم العلوي المتسع من الحالب بدعى,ما اسم القسم العلوي المتسع من الحالب؟,الحويضة
469,يستمر الشريان تحت الترقوة بالشريان:,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,الابطي
481,كم طول حنجرة الرجل:,كم يبلغ طول حنجرة الرجل؟,4.5 سم
582,القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد يحوي,ماذا يحوي القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,تلم الرباط الوريدي
592,العصب الحركي للعضلات الماضغة :,ما هو العصب الحركي للعضلات الماضغة؟,الخامس
597,العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام :,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,الحنجرة
603,العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية هو العصب رقم :,ما هو رقم العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,السابع
1369,سم النواتج المتشكلة عند تفاعل معدن الصوديوم مع الاتانول؟,ما النواتج المتشكلة عند تفاعل معدن الصوديوم مع الإيثانول؟,اوكسيد الصوديوم وهيدروجين
